"word","freq"
"군사쿠데타",1
"군인",1
"궁금",1
"궁달",1
"권력",1
"권성동",1
"권영",1
"권익",1
"권총",1
"궤변",2
"귀결",1
"귀국",2
"귀촌",2
"규정",1
"그것",1
"그날",1
"그녀",2
"그동안",1
"그때",1
"그래픽카드",1
"그레이스박",1
"그림",1
"그림자ㅣ다큐시선",1
"그알",2
"극복",1
"극우",3
"극찬",1
"근무",1
"근접",1
"글래스고",1
"글로벌",10
"금리상승",1
"금메달",1
"금요일",1
"금융",1
"금융당국",1
"금지령",1
"급락",1
"급변",1
"급소",1
"기간",1
"기관",3
"기념",2
"기대",1
"기동타격대",1
"기록",1
"기모",3
"기본",1
"기부",1
"기분",1
"기상",1
"기생충",1
"기성용",1
"기소",1
"기술주",1
"기업",1
"기자",1
"기자9",1
"기자회",1
"기자회견",2
"기조",1
"기회",5
"기획",4
"기후",3
"긴급",5
"긴박",1
"긴장",3
"김PD",1
"김감",1
"김경래",2
"김경률문팬",1
"김경수",2
"김경일",1
"김광일",4
"김근태",2
"김기현",5
"김남국",1
"김다현",3
"김동길TV",3
"김동석",1
"김동원",1
"김동환",2
"김문수",1
"김민웅촛불시민",1
"김병민",2
"김봉곤",1
"김부겸",1
"김성주",2
"김성회",2
"김수",1
"김순호",1
"김승",1
"김아람",1
"김약",1
"김양희",1
"김어준",38
"김여정",1
"김연경",3
"김영록",1
"김영춘",1
"김용관",1
"김용민",2
"김원",1
"김은배",2
"김이",3
"김재련",2
"김정",1
"김정은",3
"김정환",3
"김종래",3
"김종민",2
"김종인",4
"김종철",1
"김주영",1
"김준형",1
"김지석",1
"김지은",1
"김진애",4
"김진홍",1
"김태연",1
"김태흠",1
"김평",1
"김한규",2
"김현미",1
"김현정",16
"김형동",1
"김호중",1
"김홍걸",1
"김홍국",1
"김훈",1
"깔끔",1
"깜짝놀라버",1
"깜짝놀란",1
"꼼찰청장",1
"꼼찰청창",1
"꽃다발",1
"꿀먹은",1
"끔찍",1
"끝장",1
"나경원",3
"나노",2
"나라",1
"나무",1
"나훈",1
"나훈아",2
"난리",1
"난리났다",2
"난민",1
"난수표",1
"난장판",1
"남매",1
"남북",2
"남아공",1
"남유럽",1
"남편",3
"납치",1
"내년",2
"내놨다",1
"내돈내산",1
"내부",1
"내손안의Q",1
"내시",3
"내역",1
"내일",1
"넘었",1
"네이버",3
"넥타이",1
"년생",1
"노근",1
"노노",1
"노래",1
"노숙인",1
"노숙자",1
"노조",1
"노출",1
"노트",9
"녹음",1
"녹취",1
"녹취록",4
"논란",6
"논문",1
"논평",2
"농성",1
"뇌물",1
"누구",7
"누굴",1
"누락",3
"누리",1
"눈덩이",1
"눈마주친",1
"눈치",1
"뉴딜",1
"뉴스",106
"뉴스9",2
"뉴스A",3
"뉴스데스크",2
"뉴스룸",1
"뉴스타",5
"뉴스타운T",1
"뉴스타파",2
"뉴스투데이",1
"느타리",1
"니콜",1
"다녀왔습니",1
"다맞춘",1
"다반",2
"다스뵈이다",8
"다시",5
"다음",1
"다이너마이트",1
"다주",1
"단독",7
"단속",2
"단체",2
"단톡방",1
"달콤한",1
"담대",2
"답변",3
"당국",1
"당당",1
"당선",1
"당신",1
"당신의매수매도는어느누구도책임지지않습니",5
"당원",1
"당의",1
"당직",2
"당직병",1
"당한",3
"대구",1
"대군",1
"대권",1
"대권후보",1
"대기업",1
"대답",1
"대동",1
"대령",2
"대륙",1
"대만",1
"대망",1
"대박",1
"대반란",1
"대반전",3
"대법원",1
"대부",1
"대비",1
"대사관",1
"대상",1
"대선",1
"대설",1
"대성공",1
"대신",2
"대위",2
"대이동",1
"대장",1
"대전",1
"대정",1
"대책",2
"대치",1
"대통령",17
"대통령의",3
"대폭",1
"대표",5
"대표팀",1
"대학생",4
"대한민국",4
"대형",1
"대형주",1
"대홍수",2
"더부",1
"더불어민주당",1
